Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,DarthOblivius+1339,1097.3188593454058,55,4.0,7.3%,1200,-1
-,silverfox+4551,1085.7986640946172,7,0.0,0.0%,1200,-16
-,Klishu+3272,1083.1963731310832,32,3.0,9.4%,1200,-6
-,tunnndz+4720,1081.5010888679346,26,2.0,7.7%,1261,-5
-,Doordecat+1475,1065.511043892491,14,0.0,0.0%,1200,-5
-,100pctskillz+6186,1064.3558820726437,46,6.0,13.0%,1241,-6
-,Dizzz+246,1063.821044611741,10,0.0,0.0%,1200,-10
-,Wriggleroom+4502,1063.7471562070998,53,4.0,7.5%,1200,-2
-,Aceosd+1686,1062.6605218798104,15,0.0,0.0%,1200,-7
-,Raybit+2953,1061.6712904758344,9,0.0,0.0%,1200,-14
-,DrCheeseFiend+3515,1060.1564630424439,12,0.0,0.0%,1200,-5
-,hanban+3911,1059.666698480899,10,0.0,0.0%,1200,-16
-,DawnDiVito+5802,1049.550344839278,54,4.0,7.4%,1200,-1
-,Munchking+5998,1044.4334214585585,27,1.0,3.7%,1200,-5
-,Lex25+415,1044.4330192261446,13,0.0,0.0%,1200,-3
-,cjahwon+6865,1035.4097278866827,43,2.0,4.7%,1200,-6
-,BaliHoo+3674,1034.9772642654045,34,2.0,5.9%,1200,-4
-,buurn+343,1024.255403306516,87,8.0,9.2%,1316,-1
