Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,DanielJeun+8467,1175.112110961383,0,0.0,0.0%,1175,0
-,Rootenthusiast+6637,1174.1364801888326,1,0.0,0.0%,1200,-28
-,IndifferentFish+2547,1173.9785560418532,12,1.5,12.5%,1198,-6
-,Lufire+7855,1173.6725454586763,2,0.0,0.0%,1200,-14
-,benruff+449,1172.624512778689,0,0.0,0.0%,1173,0
-,TenchRinggold+1755,1172.5466800776692,2,0.0,0.0%,1200,-12
-,Odinius+897,1172.162839914858,15,3.0,20.0%,1240,-7
-,GamerTower+410,1171.472140667932,1,0.0,0.0%,1189,-20
-,RedPanda+336,1171.3421289085827,1,0.0,0.0%,1200,-31
-,Hazelnut19+2913,1171.2801187019093,2,0.0,0.0%,1200,-9
-,goodgamepat+6980,1171.2733397096174,0,0.0,0.0%,1171,0
-,PajaroTronador+9221,1170.6751766145048,2,0.0,0.0%,1200,-21
-,Alexispc+6921,1170.6375802202406,4,1.0,25.0%,1207,-24
-,Komasan+7739,1170.4993139138185,0,0.0,0.0%,1170,0
-,ImEpy+9148,1170.3114348535607,0,0.0,0.0%,1170,0
-,Lante+1268,1170.0759221007916,0,0.0,0.0%,1170,0
-,DanielDandaniel+7434,1169.216934945284,1,0.0,0.0%,1183,-17
-,byzeke+7830,1168.7709128775125,0,0.0,0.0%,1169,0
-,Fenetix+9243,1167.9643196297573,3,0.0,0.0%,1200,-9
-,Nickpappa+2149,1167.9279966666886,2,0.0,0.0%,1200,-15
-,PsychologicalBox+5812,1167.5318643344565,0,0.0,0.0%,1168,0
-,EdacM+9189,1166.5762373889072,0,0.0,0.0%,1167,0
-,Excitedteapot+2857,1166.553568354502,0,0.0,0.0%,1167,0
-,Potet+3500,1166.2465732501191,0,0.0,0.0%,1166,0
-,Lifeye+4414,1165.6050154131049,2,0.0,0.0%,1200,-19
-,FireFox+7079,1164.869580676351,1,0.0,0.0%,1184,-21
